id,title,alias,type,approval,price,like_num,grade,imageSrc,url,ingredients
"﻿""41471""",宝拉珍选岁月屏障基底防护清透隔离日乳 （普通／油性／混合型皮肤适用）,Paula's Choice RESIST Super-Light Daily Defense SPF 30,20,,278,2582,5,https://img1.bevol.cn/Goods/source/567d0a5410dc7.jpg,https://www.bevol.cn/product/7a915246403b00c9aff3af11b2af3c10.html,"四己基癸醇抗坏血酸酯, 月桂酰赖氨酸, 氧化锌, 乙基己基甘油, C12-15 醇苯甲酸酯, 苯氧乙醇, 石榴（PUNICA GRANATUM）提取物, 表棓儿茶酚棓酸酯, 聚二甲基硅氧烷交联聚合物, 红没药醇, 水, 氯化钠, 白柳（SALIX ALBA）树皮提取物, 生育酚乙酸酯, 己二醇, 白藜芦醇, 三羟基硬脂精, 辛甘醇, 聚山梨醇酯-80, PEG/PPG-18/18 聚二甲基硅氧烷, 雨生红球藻（HAEMATOCOCCUS PLUVIALIS）提取物, 腺苷, 环五聚二甲基硅氧烷, 氧化铁类, 水解玉米淀粉, 硅石, 三异硬脂酸异丙氧钛盐, 三乙氧基辛基硅烷, 五羟黄酮, PEG-12 聚二甲基硅氧烷"
"﻿""41469""",无印良品敏感肌用妆前乳,,20,苏G妆网备字2014002753,78,1834,5,https://img0.bevol.cn/Goods/source/569df7a2b9d75.jpg,https://www.bevol.cn/product/a6b85225400c13856ff73b9cfda75809.html,"谷氨酸钠, CI 77019, 月桂酰赖氨酸, 水合硅石, CI 77947, 母菊（CHAMOMILLA RECUTITA）花提取物, CI 77491, 二苯基甲硅烷氧基苯基聚三甲基硅氧烷, 植物甾醇/辛基十二醇月桂酰谷氨酸酯, 氢化聚二甲基硅氧烷, 苯氧乙醇, 聚二甲基硅氧烷, 水, 聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷交联聚合物, 甘油, 二异硬脂醇苹果酸酯, 葡萄（VITIS VINIFERA）籽油, 桃（PRUNUS PERSICA）叶提取物, PEG-10 聚二甲基硅氧烷, CI 77891, CI 77492, 氢氧化铝, CI 77499, 硬脂酰谷氨酸二钠, 环五聚二甲基硅氧烷, 丁二醇, 角鲨烷, 聚甘油-2 异硬脂酸酯, 生育酚（维生素E）"
"﻿""41464""",资生堂FWB隔离霜,,20,,70,1570,4.5,https://img1.bevol.cn/Goods/source/56f8e149cf665.jpg,https://www.bevol.cn/product/c7171f5eed43d3ff8a8099623cce141b.html,"透明质酸钠, 蔗糖硬脂酸酯, 聚乙烯醇, 聚山梨醇酯-60, 山梨坦硬脂酸酯, 甲基丙烯酸甲酯交联聚合物, 二氧化钛, 苯氧乙醇, 聚二甲基硅氧烷, 聚乙酸乙烯酯, 乙醇, 脱氢乙酸钠, 膨润土, 水, 甘油, 氧化铝, 异丁烯/马来酸钠共聚物, EDTA 三钠, 鲨肝醇, 微晶蜡, 蔗糖四硬脂酸酯三乙酸酯, 氧化铁类, 有机硅树脂, 双丙甘醇, 生育酚（维生素E）"
"﻿""41463""",CPB肌肤之钥新版钻光感隔离霜新版,,20,,420,1482,4,https://img1.bevol.cn/Goods/source/56ef959810836.jpg,https://www.bevol.cn/product/27d8b14805aabb4ca277a6338c64947c.html,"刺梨（ROSA ROXBURGHII）果提取物, 云母, 二氧化钛, 二氧化硅, EDTA 二钠, 水解贝壳硬蛋白, 苯氧乙醇, 聚甲基硅倍半氧烷, 新戊酸异癸酯, 乙醇, 水解蚕丝蛋白, 二甲基硅油, 丁羟甲苯, 水, 甘油, 甲氧基肉桂酸乙基己酯, 氧化铝, 十四烯, 木糖醇, 乙酰化透明质酸钠, 异十六烷, 赤藓醇, 二硬脂酸铝, 氢氧化铝, 苯基苯并咪唑磺酸, 异硬脂酸, 三异硬脂精, 锦纶-12, 鲸蜡醇乙基己酸酯, （日用）香精, 氧化铁类, PEG-9 聚二甲基硅氧乙基聚二甲基硅氧烷, 丁二醇, 聚二甲基硅氧烷/乙烯基聚二甲硅氧烷交联聚合物, 三乙氧基辛基硅烷, 三乙醇胺, 二硬脂二甲铵锂蒙脱石, 三甲基硅烷氧基硅酸酯, 生育酚（维生素E）"
"﻿""41466""",Naturaglace 有机微珠光隔离乳妆前乳,,20,,260,1416,5,https://img1.bevol.cn/Goods/source/56efa372d5523.jpg,https://www.bevol.cn/product/f7a75bb4845cc8caef1af71b65ead6ab.html,"柚（CITRUS GRANDIS）果皮油, 澳洲坚果油酸乙酯, 甘油十一碳烯酸酯, 月桂酰赖氨酸, 二氧化钛, 弗来歇氏柳叶菜（EPILOBIUM FLEISCHERI）提取物, 丙二醇, 薰衣草（LAVANDULA ANGUSTIFOLIA）油, 水, 香叶天竺葵（PELARGONIUM GRAVEOLENS）花油, 黄原胶, 甘油, 氧化铝, 橙（CITRUS SPP.）果皮油, 蔺花香茅（CYMBOPOGON SCHOENANTHUS）油, 糊精棕榈酸酯, 欧锦葵（MALVA SYLVESTRIS）花/叶/茎提取物, 硬脂酸, 明串球菌/萝卜（RAPHANUS SATIVUS）根发酵产物滤液, 氢氧化铝, 山嵛醇, 聚甘油-10 五硬脂酸酯, 紫松果菊（ECHINACEA PURPUREA）提取物, 合成氟金云母, 氧化铁类, 聚甘油-5 月桂酸酯, 油茶（CAMELLIA OLEIFERA）籽油, 角鲨烷, 生育酚（维生素E）, 山梨坦椰油酸酯"
"﻿""41470""",无印良品控色隔离霜(粉红色),,20,苏G妆网备字2014002744,68,1036,4.5,https://img1.bevol.cn/Goods/source/cut_57037a81ae11e.jpg,https://www.bevol.cn/product/7e8e449ca509b5e801d53498c3d0d9f9.html,"月桂酰赖氨酸, 水合硅石, CI 77947, 母菊（CHAMOMILLA RECUTITA）花提取物, CI 77491, 二苯基甲硅烷氧基苯基聚三甲基硅氧烷, 植物甾醇/辛基十二醇月桂酰谷氨酸酯, 苯氧乙醇, 氢化聚二甲基硅氧烷, 聚二甲基硅氧烷, 水, 氯化钠, 聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷交联聚合物, 氧化铝, 二异硬脂醇苹果酸酯, 桃（PRUNUS PERSICA）叶提取物, PEG-10 聚二甲基硅氧烷, CI 77891, 氢氧化铝, 环五聚二甲基硅氧烷, 山梨坦倍半异硬脂酸酯, 合成氟金云母, 聚甘油-3 聚二甲基硅羟乙基聚二甲基硅氧烷, 丁二醇, 聚甘油-2 异硬脂酸酯, 角鲨烷, 生育酚（维生素E）"
"﻿""41480""",无印良品毛孔隐形妆前乳,,20,苏G妆网备字2014002649,98,982,5,https://img1.bevol.cn/Goods/source/cut_57037a998fcb1.jpg,https://www.bevol.cn/product/97adb68b57b3f786e59f1834f3e4377f.html,"透明质酸钠, CI 77019, CI 77947, 母菊（CHAMOMILLA RECUTITA）花提取物, CI 77491, 苯氧乙醇, 氢化聚二甲基硅氧烷, 聚二甲基硅氧烷, 山梨坦异硬脂酸酯, 水, 聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷交联聚合物, 甘油, 二异硬脂醇苹果酸酯, 桃（PRUNUS PERSICA）叶提取物, EDTA 三钠, CI 77891, 硬脂酸, CI 77492, CI 77499, 氢氧化铝, 澳洲坚果（MACADAMIA TERNIFOLIA）籽油, 异硬脂酸, 环五聚二甲基硅氧烷, 锦纶-12, 聚甘油-3 聚二甲基硅羟乙基聚二甲基硅氧烷, 丁二醇, 环己硅氧烷, 硅石, 霍霍巴（SIMMONDSIA CHINENSIS）籽油, 三乙氧基辛基硅烷, 角鲨烷, 生育酚（维生素E）"
"﻿""41468""",VDL贝壳提亮液,,20,,89,825,4,https://img1.bevol.cn/Goods/source/56aefbc00112b.jpg,https://www.bevol.cn/product/2aa3d5f57f3eff2674287f5e20022963.html,"二氧化钛, 新戊二醇二（乙基己酸）酯, 氧化锡, 苯氧乙醇, 硫酸镁, 1,2-己二醇, 聚二甲基硅氧烷交联聚合物, 水, 生育酚乙酸酯, 甘油, 泛醇, PEG-10 聚二甲基硅氧烷, 硬脂酸, 二硬脂基二甲基氯化铵, 环五聚二甲基硅氧烷, 山梨坦倍半异硬脂酸酯, 合成氟金云母, 双丙甘醇, 丁二醇, 环己硅氧烷, α-异甲基紫罗兰酮, 二硬脂二甲铵锂蒙脱石"
"﻿""41465""",PAUL JOE搪瓷丝润隔离乳S,"PAUL JOE Moisturizing Foundation Primer S, Shade 01",20,,300,819,4,https://img0.bevol.cn/Goods/source/5689da7e07b86.jpg,https://www.bevol.cn/product/36d8b33b4e0cfb1d8966cc7b93f084c5.html,"透明质酸钠, 白花百合（LILIUM CANDIDUM）鳞茎提取物, 矿油, 山梨坦倍半油酸酯, 羟丙基甲基纤维素, 云母, 新戊二醇二癸酸酯, 水解透明质酸, 卵磷脂, 苯氧乙醇, 杏（PRUNUS ARMENIACA）汁, 丁羟甲苯, 水, 氢化卵磷脂, 黄原胶, 甘油, 甲氧基肉桂酸乙基己酯, 乙酰化透明质酸钠, 羟苯甲酯, 聚山梨醇酯-80, 环聚二甲基硅氧烷, 硬脂酸, 三（鲸蜡硬脂醇聚醚-4）磷酸酯, 水杨酸, CI 77891, 氢氧化铝, 甜橙（CITRUS AURANTIUM DULCIS）, 鲸蜡硬脂醇, 山嵛醇, 甘油三（乙基己酸）酯, 聚山梨醇酯-85, 锦纶-12, 杏（PRUNUS ARMENIACA）仁油, （日用）香精, 氧化铁类, 丙烯酸（酯）类共聚物, 双丙甘醇, 丁二醇, 月桂醇硫酸酯钠, 二聚季戊四醇六羟基硬脂酸酯/六硬脂酸酯/六松脂酸酯, 霍霍巴（SIMMONDSIA CHINENSIS）籽油, 蔗糖多硬脂酸酯, 卡波姆, 三乙醇胺, 氢化聚异丁烯, 生育酚（维生素E）"
"﻿""41486""",魅可妆前乳,MAC PREP + PRIME SKIN,20,国妆备进字J20140777,350,715,5,https://img0.bevol.cn/Goods/source/55daea706931d.jpg,https://www.bevol.cn/product/9ab764aa19decc0d6da37095e632deeb.html,"透明质酸钠, 氯氧化铋(CI 77163), 鸡桑(MORUS BOMBYCIS)根提取物, 苯基聚三甲基硅氧烷, 苯氧乙醇, 云母 (CI 77019), 咖啡因, 聚二甲基硅氧烷, 糖海带(LAMINARIA SACCHARINA)提取物, 茯苓(PORIA COCOS SCLEROTIUM)菌核提取物, 聚乙烯, 山梨酸钾, 水, 生育酚乙酸酯, 葡萄(VITIS VINIFERA)果提取物, 氧化铝, 茶(CAMELLIA SINENSIS)叶提取物, 藻提取物, 拟石花菜(GELLIDIELA ACEROSA)提取物, 己二醇, 魔芋(AMORPHOPHALLUS KONJAC)根粉, 辛甘醇, PEG/PPG-18/18 聚二甲基硅氧烷, 异戊二醇, 丙烯酰二甲基牛磺酸铵/VP 共聚物, 黄芩(SCUTELLARIA BAICALENSIS)根提取物, 聚山梨醇酯-20, 环五聚二甲基硅氧烷, 蔗糖, 钩沙菜(HYPNEA MUSCIFORMIS)提取物, 丁二醇, 肉豆蔻酸镁, 硅石, 抗坏血酸磷酸酯镁, 三乙氧基辛基硅烷, 二氧化钛 (CI 77891), 聚硅氧烷-11, HDI/三羟甲基己基內酯交联聚合物, 糖类同分异构体, 氧化铁类 (CI 77499)"
