id,title,alias,type,approval,price,like_num,grade,imageSrc,url,ingredients
"﻿""5002""",HABA 润泽柔肤水(G露),HABA G-LOTION,7,国妆备进字J20104092,198,28580,4.5,https://img1.bevol.cn/Goods/source/55e3c961a233f.jpg,https://www.bevol.cn/product/d7c0ddcfc25241d565c8ebb37c80be79.html,"透明质酸钠, 甘草酸二钾, 丁二醇, 海盐, 水解大豆蛋白, 千岛箬竹(SASA KURILENSIS)水, 水, 软骨素硫酸钠, 琥珀酸, 紫草(LITHOSPERMUM ERYTHRORHIZON)根提取物, 黄芩(SCUTELLARIA BAICALENSIS)根提取物, 氯化铝, 柠檬酸, 柠檬酸钠, 1,2-戊二醇, 藻提取物"
"﻿""5007""",欧缇丽葡萄活性保湿喷雾,CAUDALIE GRAPE WATER SENSITIVE SKIN,7,国妆备进字J20136890,128,26763,5,https://img1.bevol.cn/Goods/source/55efeab7262ad.jpg,https://www.bevol.cn/product/6cb40d8ae4bbdfaf56e0ef41aab1c5fa.html,"氮, 葡萄（VITIS VINIFERA）果水"
"﻿""5001""",无印良品化妆水 清爽型,Light Toning Water-Light,7,国妆备进字J20145183,125,22313,4.5,https://img0.bevol.cn/Goods/source/55fbda7e55623.png,https://www.bevol.cn/product/97a194cec9504165e63f0e62997f9efc.html,"聚乙二醇-32, 双丙甘醇, 丁二醇, 柚(CITRUS GRANDIS)籽提取物, 水, 马齿苋(PORTULACA OLERACEA)提取物, 尿囊素, 聚季铵盐-51, 柠檬酸, 甘油, 柠檬酸钠, 氢化淀粉水解物, 苯氧乙醇, 糖基海藻糖, PCA 钠"
"﻿""5000""",城野医生控油收缩毛孔化妆水,,7,,120,18763,4,https://img0.bevol.cn/Goods/source/55fbaa630b611.jpg,https://www.bevol.cn/product/c8c0adcd2c4eb15853df3d268bb12878.html,"透明质酸钠, 柚（CITRUS GRANDIS）果皮油, 狗牙蔷薇（ROSA CANINA）花提取物, 酸乳, 薄荷氧基丙二醇, 尿囊素, 乳酸钠, 乳酸, 苯氧乙醇, 菜蓟（CYNARA SCOLYMUS）叶提取物, 水, 葡萄（VITIS VINIFERA）, 甘油, 1,10-癸二醇, 辣薄荷（MENTHA PIPERITA）提取物, 10-羟基癸酸, PEG-30 甘油异硬脂酸酯, 羟乙基纤维素, 可溶性胶原, 家独行菜（LEPIDIUM SATIVUM）芽提取物, 柠檬酸, 柠檬酸钠, 1,2-戊二醇, 甜橙（CITRUS AURANTIUM DULCIS）, 苹果酸, 北美金缕梅（HAMAMELIS VIRGINIANA）提取物, 野蔷薇（ROSA MULTIFLORA）果提取物, 卵磷脂, 癸二酸"
"﻿""5014""",HABA润白柔肤水,HABA VC LOTION,7,国妆特进字J20130348,220,16727,5,https://img0.bevol.cn/Goods/source/55efe0a943a19.jpg,https://www.bevol.cn/product/6d0db2f0f7e19a7b2c09ece490b80e46.html,"甘草酸二钾, 羧甲基糊精钠, 麦芽糖醇, 丁二醇, 海盐, 稻(ORYZA SATIVA)糠提取物, 甜菜碱, 水, 糖鞘脂类, 欧洲七叶树(AESCULUS HIPPOCASTANUM)提取物, 柠檬酸, 柠檬酸钠, 甘油, 天冬氨酸镁, 1,2-戊二醇, 东当归(ANGELICA ACUTILOBA)根提取物, 溶血卵磷脂, 阳桃(AVERRHOA CARAMBOLA)叶提取物, 抗坏血酸磷酸酯钠, 核黄素磷酸酯钠"
"﻿""5005""",茵芙莎流金岁月凝润美肤水,IPSA THE TIME RESET AQUA,7,国妆特进字J20150585,350,15198,4.5,https://img1.bevol.cn/Goods/source/55daf33dbba06.jpg,https://www.bevol.cn/product/a8a35716eb8238ca7874f6e2c4d335bc.html,"苯甲酸, 狗牙蔷薇（ROSA CANINA）果提取物, EDTA 二钠, 苯氧乙醇, 磷酸抗坏血酸酯生育酚酯钾, 甘草酸二钾, 山梨（糖）醇, 水, PEG/PPG-17/4 二甲基醚, 甘油, 芍药（PAEONIA LACTIFLORA）根提取物, 甜茶（RUBUS SUAVISSIMUS）叶提取物, PEG/PPG-14/7 二甲基醚, 乙酰化透明质酸钠, PPG-13-癸基十四醇聚醚-24, 甘牛至（ORIGANUM MAJORANA）叶提取物, 聚季铵盐-51, 柠檬酸, 柠檬酸钠, 焦亚硫酸钠, 双丙甘醇, 丁二醇, 凝血酸, 生育酚（维生素E）"
"﻿""5011""",芙丽芳丝保湿修护清爽化妆水,FREEPLUS MOIST CARE LOTION 1,7,国妆备进字J20123315,200,14098,5,https://img0.bevol.cn/Goods/source/5678b6881edbb.jpg,https://www.bevol.cn/product/46c185f53ba48c70c380acb2ed8f6bbb.html,"乙基葡糖苷, 烟酰胺, 枣（ZIZYPHUS JUJUBA）果提取物, 甲基丝氨酸, 双丙甘醇, 丁二醇, 温州蜜柑（CITRUS UNSHIU）果皮提取物, 水, 光果甘草（GLYCYRRHIZA GLABRA）叶提取物, EDTA 二钠, 柠檬酸, 柠檬酸钠, 甘油, 川谷（COIX LACRYMA-JOBI MA-YUEN）籽提取物, 日本川芎（CNIDIUM OFFICINALE）根提取物, 苯氧乙醇, 桃（PRUNUS PERSICA）核仁提取物, 双甘油"
"﻿""5008""",芙丽芳丝保湿修护柔润化妆水,FREEPLUS MOIST CARE LOTION 2,7,国妆备进字J20123257,200,12053,4.5,https://img1.bevol.cn/Goods/source/cut_5677f92284ca4.jpg,https://www.bevol.cn/product/dd3a09b3e1eb4a4ef1fe604099bbc704.html,"烟酰胺, 二苯基甲硅烷氧基苯基聚三甲基硅氧烷, EDTA 二钠, 光果甘草(GLYCYRRHIZA GLABRA)叶提取物, 苯氧乙醇, 聚二甲基硅氧烷, 乙基葡糖苷, 水, 甘油, 枣(ZIZYPHUS JUJUBA)果提取物, 双甘油, 氢氧化钾, 温州蜜柑(CITRUS UNSHIU)果皮提取物, 薏苡(COIX LACRYMA-JOBI)籽提取物, 聚山梨醇酯-20, 甲基丝氨酸, 双丙甘醇, 丁二醇, 桃(PRUNUS PERSICA)核仁提取物, PEG-60 氢化蓖麻油, 日本川芎(CNIDIUM OFFICINALE)根提取物, 卡波姆, 丙烯酸(酯)类/C10-30 烷醇丙烯酸酯交联聚合物"
"﻿""5023""",FANCL修护补湿液–水润,FANCL Aging Care Lotion 〈Ⅰ〉,7,国妆备进字J20129024,160,10017,5,https://img1.bevol.cn/Goods/source/5642fe8adefca.jpg,https://www.bevol.cn/product/a774b64454db667c11a06e356156666f.html,"透明质酸钠, 香豌豆(LATHYRUS ODORATUS)花提取物, 甜菜碱, 乙基己基甘油, 水解胶原, 植物甾醇/辛基十二醇月桂酰谷氨酸酯, 生育酚(维生素E), 肌酸, 水, 氢化卵磷脂, 甘油, 卡波姆钾, 水解酵母, 枣(ZIZYPHUS JUJUBA)果提取物, 葡萄糖, 缺端胶原, 植物甾醇异硬脂酸酯, 棉子糖, 葡聚糖, 1,2-戊二醇, 甲基葡糖醇聚醚-10, 磷酸氢二钠, 磷酸钾, 双丙甘醇, 丁二醇, 麦芽糖醇, 角鲨烷, 黄原胶, 欧锦葵(MALVA SYLVESTRIS)花提取物"
"﻿""5016""",薇诺娜  舒敏保湿润肤水,,7,云G妆网备字2017000153,188,9532,4.5,https://img0.bevol.cn/Goods/source/55dbd4af4fdc3.jpg,https://www.bevol.cn/product/c8d771041cc79ec39b8cae8c7c746aa4.html,"透明质酸钠, 三甲基戊二醇/己二酸/甘油交联聚合物, 马齿苋（PORTULACA OLERACEA）提取物, 羟乙基纤维素, 丁二醇, 水, 甘油聚醚-26, 甘油, 1,2-戊二醇, β-葡聚糖"
