id,title,alias,type,approval,price,like_num,grade,imageSrc,url,ingredients
"﻿""1""",芙丽芳丝净润洗面霜,FREEPLUS MILD SOAP A,6,国妆备进字J20124563,150,36416,4.5,https://img1.bevol.cn/Goods/source/55e3f55087648.jpg,https://www.bevol.cn/product/359db1d5fe35be559b13a0d9368d4180.html,"聚甘油-10 肉豆蔻酸酯, 烟酰胺, 枣（ZIZYPHUS JUJUBA）果提取物, 丁二醇, 温州蜜柑（CITRUS UNSHIU）果皮提取物, 椰油酰甘氨酸钾, 月桂醇磺基琥珀酸酯二钠, 水, 光果甘草（GLYCYRRHIZA GLABRA）叶提取物, 柠檬酸, 甘油, 甘油硬脂酸酯 SE, 川谷（COIX LACRYMA-JOBI MA-YUEN）籽提取物, 日本川芎（CNIDIUM OFFICINALE）根提取物, 桃（PRUNUS PERSICA）核仁提取物"
"﻿""4""",FANCL柔滑洁面粉 – 保湿,FANCL Washing Powder ●,6,国妆备进字J20128764,115,34486,5,https://img0.bevol.cn/Goods/source/55ee92bed0a02.jpg,https://www.bevol.cn/product/2407fa46193fa5c58e5ae2d6f9d74fc2.html,"玉米(ZEA MAYS)淀粉, 肉豆蔻酰谷氨酸钾, 葡聚糖羟丙基三甲基氯化铵, 椰油酰羟乙磺酸酯钠, 月桂酰谷氨酸钠, 羟丙基甲基纤维素, 甘露糖醇, 硬脂酰谷氨酸钠, 尿囊素, 棕榈油酰谷氨酸钠, 出芽短梗酶多糖, 月桂酰天冬氨酸钠, 丝氨酸, 肉豆蔻酸钾, 葡萄糖, 稻米（ORYZA SATIVA）淀粉"
"﻿""2""",珂润润浸保湿洁颜泡沫,Curel Foaming Wash G,6,国妆备进字J20129282,118,21298,4.5,https://img1.bevol.cn/Goods/source/5617b8ae268c5.jpg,https://www.bevol.cn/product/ff4051ea731996638b41e1e1d8402ae4.html,"氢氧化钾, 甘草酸二钾, 麦芽糖醇, 羟苯甲酯, 聚山梨醇酯-60, 水, 乙基己基甘油, EDTA 二钠, 月桂基羟基磺基甜菜碱, 甘油, 月桂酰天冬氨酸钠, 丙二醇, 苯氧乙醇, 椰油酰谷氨酸钠, 聚乙二醇-150"
"﻿""5""",芙丽芳丝净润洗颜泡沫,FREEPLUS MILD FOAM SOAP,6,国妆备进字J20128906,150,20207,5,https://img1.bevol.cn/Goods/source/568b848c5125a.jpg,https://www.bevol.cn/product/985c7088ad7eba850d19f2253c24de27.html,"薏苡(COIX LACHRYMA-JOBI)籽提取物, 烟酰胺, 枣（ZIZYPHUS JUJUBA）果提取物, 月桂酰谷氨酸钾, 双丙甘醇, 丁二醇, 温州蜜柑（CITRUS UNSHIU）果皮提取物, 水, 光果甘草（GLYCYRRHIZA GLABRA）叶提取物, 柠檬酸, 柠檬酸钠, 甘油, 椰油酰基谷氨酸 TEA 盐, 日本川芎（CNIDIUM OFFICINALE）根提取物, 水解蚕丝, 桃（PRUNUS PERSICA）核仁提取物, 月桂基甜菜碱"
"﻿""3""",Elta MD氨基酸洁面,EltaMD foaming facial cleanser,6,,150,15111,4.5,https://img0.bevol.cn/Goods/source/56f0dd154eee6.jpg,https://www.bevol.cn/product/3fb789d9a6bc2739f0eba28416c808f2.html,"（日用）香精, 菠萝蛋白酶, 椰油酰甘氨酸钠, 异壬酸乙基己酯, 丙烯酸（酯）类共聚物, 聚二甲基硅氧烷交联聚合物, 异壬酸异壬酯, 苯氧乙醇, 氢氧化钠, 水, 亚硫酸氢钠, 十一碳烯酰甘氨酸, 椰油酰基苹果氨基酸钠, 甲基全氟异丁基醚, 全氟丁基甲醚, 辛酰甘氨酸, 聚羟基硬脂酸, 硅酸镁, 椰油酰胺丙基 PG-二甲基氯化铵磷酸酯钠"
"﻿""16""",宝拉珍选大地之源洁面凝胶,Paula‘s Choice Earth Sourced Perfectly Natural Cleansing Gel,6,国妆备进字J20156734,198,7851,4.5,https://img1.bevol.cn/Goods/source/5677cca2bbe7c.jpg,https://www.bevol.cn/product/300585024d2254041d5ca7658c191bf8.html,"椰油酰两性基乙酸钠, 癸基葡糖苷, 甘油油酸酯, 山梨酸钾, 椰油基葡糖苷, 库拉索芦荟(Aloe Barbadensis)叶汁, 水, 葡萄糖, 月桂基葡糖苷, 皱波角叉菜(CHONDRUS CRISPUS)提取物, 乙基己基甘油, 柠檬酸, 甘油, 植酸钠, 苯氧乙醇, 月桂基葡萄糖羧酸钠, 椰油酰谷氨酸钠, 黄原胶"
"﻿""10""",MINON氨基酸洁面泡沫,,6,,95,7193,5,https://img0.bevol.cn/Goods/source/565d05f94dad5.jpg,https://www.bevol.cn/product/e183f7b47f7d721108cc8194281b496e.html,"亮氨酸, 缬氨酸, 丝氨酸, 植物甾醇/辛基十二醇月桂酰谷氨酸酯, 苯氧乙醇, 1,2-己二醇, 甘草酸二钾, 山梨（糖）醇, 水, 氢化卵磷脂, 生育酚乙酸酯, 甘油, 聚甘油-10 月桂酸酯, 喷替酸五钠, 组氨酸, 苏氨酸, 甘氨酸, 椰油酰基丙氨酸 TEA 盐, 丙氨酸, 椰油酰胺 DEA, 精氨酸, 椰油酰谷氨酸钾, 生育酚（维生素E）"
"﻿""21""",佳丽宝酵素洗颜粉,Kanebo Suisai Beauty Clear Powder AP,6,,128,6315,4.5,https://img1.bevol.cn/Goods/source/55e3f5f9bb042.jpg,https://www.bevol.cn/product/02781e0c387750147afa314bf4928233.html,"蛋白酶, 月桂酰谷氨酸钠, 椰油酰胺丙基甜菜碱, 豆瓣菜（NASTURTIUM OFFICINALE）提取物, 异硬脂醇, 月桂酸钾, 2-甲基丙烯酰磷酸胆碱/甲基丙烯酸丁酯共聚物, 乳酸, 皱波角叉菜（CHONDRUS CRISPUS）提取物, 甘草酸二钾, 聚甲基硅氧烷, 脂肪酶, 羟基苯甲酸酯类, 氢氧化钾, 滑石粉, 椰油酰羟乙磺酸酯钠, 乳酸杆菌/豆浆发酵产物滤液, 肉豆蔻酰谷氨酸钠, 丁二醇, 十四碳烯磺酸钠, 蚕丝粉"
"﻿""9""",大宝水凝保湿洁面乳,,6,京G妆网备字2014002161,16,6125,4.5,https://img0.bevol.cn/Goods/source/56265554098c0.jpg,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html,"椰油酰胺丙基羟基磺基甜菜碱, 甲基氯异噻唑啉酮, 丙二醇, PEG-150 二硬脂酸酯, 水, 氯化钠, 甘油, 乙二醇二硬脂酸酯, 氢氧化钾, 羟乙基纤维素, 椰油酰羟乙磺酸酯钠, 丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物, 甲基异噻唑啉酮, 硬脂酸, 柠檬酸, 银耳（TREMELLA FUCIFORMIS）提取物, 山嵛醇, （日用）香精, 椰油酰甘氨酸钠, 月桂酸, 羟乙磺酸钠"
"﻿""7""",旁氏亮采净澈系列米粹润泽洁面乳,,6,皖G妆网备字2017000065,21,5327,4,https://img1.bevol.cn/Goods/source/5626596333262.jpg,https://www.bevol.cn/product/2021305f5363fcc98c0516565db26d4f.html,"稻（ORYZA SATIVA）胚芽油, 烟酰胺, 香精, 聚季铵盐-39, 二氧化钛, 水, 氯化钠, 甲基椰油酰基牛磺酸钠, 稻（ORYZA SATIVA）糠提取物, 甘油, 乙二醇二硬脂酸酯, 月桂酰胺丙基甜菜碱, 碘丙炔醇丁基氨甲酸酯, 鲸蜡醇聚醚-20, 硬脂酸, 柠檬酸, 椰油酰甘氨酸钠, 月桂亚氨基二乙酸二钠, 丁二醇, DMDM 乙内酰脲, 卡波姆, PEG-40 氢化蓖麻油"
