id,title,alias,type,approval,price,like_num,grade,imageSrc,url,ingredients
"﻿""29999""",FANCL速净卸妆液 （日本版）,FANCL Mild Cleansing Oil,12,,128,8867,4.5,https://img0.bevol.cn/Goods/source/55f91354df5bf.jpg,https://www.bevol.cn/product/442ad0c5f681373ac5e748d925732732.html,"鲸蜡醇乙基己酸酯, 植物甾醇/异硬脂醇/鲸蜡醇/硬脂醇/山嵛醇二聚亚油酸酯, 甘油山嵛酸酯/二十酸酯, 茶（CAMELLIA SINENSIS）叶粉, 硬脂酰菊粉, 狗牙蔷薇（ROSA CANINA）果油, 抗坏血酸二棕榈酸酯, 二苯基甲硅烷氧基苯基聚三甲基硅氧烷, 白池花（LIMNANTHES ALBA）籽油, 辛酸/癸酸甘油三酯, 聚甘油-10 二异硬脂酸酯, 生育酚（维生素E）"
"﻿""29996""",贝德玛舒妍多效洁肤液,Bioderma Sensibio H2O Micelle Solution Sensitive Skin,12,国妆备进字J201310513,228,8657,4.5,https://img0.bevol.cn/Goods/source/55f8fea695373.jpg,https://www.bevol.cn/product/380d7f5e3e134027ca3ff0cb3d457185.html,"木糖醇, 低聚果糖, 黄瓜（CUCUMIS SATIVUS）果提取物, 鼠李糖, 甘露糖醇, 水, EDTA 二钠, 西曲溴铵, PEG-6 辛酸/癸酸甘油酯类, 丙二醇"
"﻿""29997""",Nursery卸妆啫喱柚子味,,12,,108,8313,4.5,https://img0.bevol.cn/Goods/source/5603c5f7ceb09.jpg,https://www.bevol.cn/product/c602b108c129cc39ea995c9b3fbddd83.html,"透明质酸钠, 微晶纤维素, 黄蘖（PHELLODENDRON AMURENSE）树皮, 甘蔗（SACCHARUM OFFICINARUM）提取物, 三肽-1, 苯氧乙醇, 向日葵（HELIANTHUS ANNUUS）籽油, 人参（PANAX GINSENG）根, 甘草酸二钾, 乙醇, PPG-4-鲸蜡醇聚醚-20, 柚（CITRUS GRANDIS）, 水, 氢化卵磷脂, 熊果苷, 黄原胶, 欧洲越桔（VACCINIUM MYRTILLUS）果提取物, 氢氧化钠, 辛甘醇, 羟苯甲酯, 水解小麦蛋白, 可溶性胶原, 假交替单胞菌发酵产物提取物, 海藻糖, 辛酸/癸酸甘油三酯, 甜橙（CITRUS AURANTIUM DULCIS）, 芍药（PAEONIA ALBIFLORA）花提取物, 神经酰胺 1, 双丙甘醇, 丁二醇, 水解大豆蛋白, 霍霍巴（SIMMONDSIA CHINENSIS）籽油, 卡波姆, PEG-7 甘油椰油酸酯, 野山楂（CRATAEGUS CUNEATA）果提取物, 卵磷脂"
"﻿""30002""",Byphasse 温和卸妆水,Byphasse Make-up Remove Solution,12,,62,7031,4.5,https://img1.bevol.cn/Goods/source/5630802952470.jpg,https://www.bevol.cn/product/388f901a06b8bae33d3ce17408f6573f.html,"癸基葡糖苷, 氢氧化钠, 红没药醇, 水, EDTA 二钠, 柠檬酸, 椰油酰两性基二乙酸二钠, 甘油, PEG-6 辛酸/癸酸甘油酯类, 聚氨丙基双胍, 丙二醇, '薰衣草（LAVANDULA ANGUSTIFOLIA）油, 泛醇"
"﻿""30000""",珂润润浸保湿卸妆啫喱,Curel Makeup Cleansing Gel,12,国妆备进字J20104215,98,6975,4.5,https://img0.bevol.cn/Goods/source/55f92912374e1.jpg,https://www.bevol.cn/product/2c5fe56ba05380336918e9bcf9106456.html,"甘草酸二钾, 异壬酸异壬酯, 山梨（糖）醇, 丁二醇, 环聚二甲基硅氧烷, 水, 异丙醇, 羟苯乙酯, 甘油, 辛酸/癸酸甘油三酯, 氢化聚异丁烯, 二硬脂基二甲基氯化铵, 辛基十二醇聚醚-20"
"﻿""29998""",FANCL净化修护卸妆液,FANCL MCO MILD CLEANSING OIL,12,国妆备进字J20131405,228,6740,5,https://img1.bevol.cn/Goods/source/55dad5f3a14b4.jpg,https://www.bevol.cn/product/cf7bce2eae7cebffbae4cbf4e612b25c.html,"鲸蜡醇乙基己酸酯, 稻(ORYZA SATIVA)胚芽油, PEG-10 氢化蓖麻油, 糊精棕榈酸酯, PEG-20 甘油三异硬脂酸酯, 霍霍巴(SIMMONDSIA CHINENSIS)籽油, 抗坏血酸二棕榈酸酯, 角鲨烷, 狗牙蔷薇(ROSA CANINA)果油, 生育酚(维生素E)"
"﻿""30006""",美宝莲眼部及唇部卸妆液,,12,鄂G妆网备字2014000601,59,4429,4.5,https://img1.bevol.cn/Goods/source/55dae8cfc518d.jpg,https://www.bevol.cn/product/710b7fc537f0c13d2ccc381a308f52c3.html,"棕榈酸异丙酯, 磷酸钾, CI 61565, 异十六烷, 氯化钠, 水, 泊洛沙姆 184, 聚氨丙基双胍, 泛醇, 环五聚二甲基硅氧烷, 磷酸氢二钾"
"﻿""30007""",缤若诗眼唇卸妆液,Bifesta Eye Makeup Remover,12,国妆备进字J20134578,55,4172,4.5,https://img1.bevol.cn/Goods/source/561f4b15cd20c.jpg,https://www.bevol.cn/product/f0d978a00fac8985acccef630c09e31e.html,"矿油, 乙醇, 水, 氯化钠, PCA 椰油酰精氨酸乙酯盐, EDTA 二钠, 生育酚乙酸酯, 氢化聚异丁烯, 羟丙基三甲基氯化铵透明质酸, 聚乙二醇-400, 1,2-戊二醇, 泛醇, PEG-6 辛酸/癸酸甘油酯类, 环五聚二甲基硅氧烷, PPG-2-癸醇聚醚-7"
"﻿""30003""",alovivi 皇后卸妆水,,12,,49,3731,4,https://img1.bevol.cn/Goods/source/567368d279469.jpg,https://www.bevol.cn/product/6fe51c3776eae19705321e0c0e165e71.html,"透明质酸钠, 谷氨酸二乙酸四钠, 柚（CITRUS GRANDIS）果提取物, 枣（ZIZYPHUS JUJUBA）提取物, 来檬（CITRUS AURANTIFOLIA）汁, 乙基己基甘油, 苹果（PYRUS MALUS）果提取物, 川谷（COIX LACRYMA-JOBI MA-YUEN）籽提取物, 乳酸, 苯氧乙醇, 甘醇酸钠, 库拉索芦荟（ALOE BARBADENSIS）叶提取物, 水, 香橼（CITRUS MEDICA LIMONUM）汁, 氢化淀粉水解物, 糖基海藻糖, 木糖醇, 柠檬酸, 柠檬酸钠, 丁二醇, 甜橙（CITRUS AURANTIUM DULCIS）汁, 野山楂（CRATAEGUS CUNEATA）果提取物, PEG-8 辛酸/癸酸甘油酯类"
"﻿""30004""",蝶翠诗橄榄卸妆油,DHC DEEP CLEANSING OIL,12,国妆备进字J20124913,218,2950,4,https://img1.bevol.cn/Goods/source/55e3f44259242.jpg,https://www.bevol.cn/product/a44366dd03e6300b980307f55cf51921.html,"油橄榄（OLEA EUROPAEA）果油, 山梨醇聚醚-30 四油酸酯, 硬脂醇甘草亭酸酯, 迷迭香（ROSMARINUS OFFICINALIS）叶油, 辛酸/癸酸甘油三酯, 1,2-戊二醇, 苯氧乙醇, 生育酚（维生素E）"
