id,title,alias,type,approval,price,like_num,grade,imageSrc,url,ingredients
"﻿""20001""",FANCL细致修护眼霜,FANCL FC RESTEYE GEL,10,国妆备进字J20131041,180,14281,5,https://img1.bevol.cn/Goods/source/55f671fbcb4e2.jpg,https://www.bevol.cn/product/6ad5b6021d0fca98d00589614b385495.html,"迷迭香(ROSMARINUS OFFICINALIS)叶提取物, 透明质酸钠, 库拉索芦荟(ALOE BARBADENSIS)叶提取物, 香豌豆(LATHYRUS ODORATUS)花提取物, 甘油三(乙基己酸)酯, 聚山梨醇酯-60, 生育酚(维生素E), 山梨坦异硬脂酸酯, 蔗糖多月桂酸酯, 水, 丙烯酸羟乙酯/丙烯酰二甲基牛磺酸钠共聚物, 氢化卵磷脂, 甘油, 缺端胶原, 植物甾醇异硬脂酸酯, 乙烯基聚二甲基硅氧烷/月桂基聚二甲基硅氧烷交联聚合物, 瓜氨酸, 1,2-戊二醇, 环五聚二甲基硅氧烷, 聚乙二醇-75, 磷酸氢二钠, 磷酸钾, 丁二醇, (神经)鞘脂类, 野大豆(Glycine Soja)甾醇类, 精氨酸, 澳洲坚果(MACADAMIA TERNIFOLIA)籽油, 角鲨烷, 黄原胶, 欧锦葵(MALVA SYLVESTRIS)花提取物"
"﻿""20005""",CeraVe修复眼霜,,10,,150,9243,5,https://img0.bevol.cn/Goods/source/561c718c3b71c.jpg,https://www.bevol.cn/product/c63a3894d636fbd477c1078137e10088.html,"烟酰胺, EDTA 四钠, 刺海门冬（ASPARAGOPSIS ARMATA）提取物, 乙基己基甘油, 山嵛基三甲基铵甲基硫酸盐, 氢化植物油, 苯氧乙醇, 1,3-丙二醇, 聚二甲基硅氧烷, 甜扁桃（PRUNUS AMYGDALUS DULCIS）油, 甲基葡糖倍半硬脂酸酯, 山梨（糖）醇, 水, 月桂酰乳酰乳酸钠, 植物鞘氨醇, 黄原胶, 甘油, 神经酰胺 6 II, 霍霍巴酯类, 库拉索芦荟（ALOE BARBADENSIS）叶汁, 氢氧化钠, 问荆（EQUISETUM ARVENSE）提取物, 鲸蜡醇, PEG-20 甲基葡糖倍半硬脂酸酯, 金黄洋甘菊（CHRYSANTHELLUM INDICUM）提取物, 辛酸/癸酸甘油三酯, 鲸蜡硬脂醇, 柠檬酸锌, 神经酰胺 1, 胆甾醇, 透明质酸, 泡叶藻（ASCOPHYLLUM NODOSUM）提取物, 异壬酸异壬酯, 丁二醇, 神经酰胺 3, 卡波姆, 三乙醇胺, 月桂醇聚醚-4, 生育酚（维生素E）"
"﻿""20006""",日本Melty Wink眼霜,,10,,128,8983,4.5,https://img1.bevol.cn/Goods/source/570719a208754.jpg,https://www.bevol.cn/product/9252b7626a7dea8fe61b3438810582b5.html,"透明质酸钠, 硬脂醇聚醚-20, 乳酸杆菌/梨汁发酵产物滤液, 苯氧乙醇, 咖啡因, 富勒烯, 假叶树（RUSCUS ACULEATUS）根提取物, 水, 乙酰基六肽-8, 甘油, 氢化淀粉水解物, 糖基海藻糖, 泛醇, 水解酵母蛋白, 酵母菌/葡萄发酵产物提取物, 问荆（EQUISETUM ARVENSE）提取物, 欧洲七叶树（AESCULUS HIPPOCASTANUM）提取物, 积雪草（CENTELLA ASIATICA）提取物, 二肽-2, 香橼（CITRUS LIMONUM;C.MEDICA LIMONUM）提取物, 甘草酸铵, 聚山梨醇酯-20, 橙皮苷甲基查尔酮, 迷迭香（ROSMARINUS OFFICINALIS）提取物, 棕榈酰寡肽, 丁二醇, 光果甘草（GLYCYRRHIZA GLABRA）根提取物, 欧洲赤松（PINUS SYLVESTRIS）球果提取物, 硅氧烷三醇藻酸酯, 金盏花（CALENDULA OFFICINALIS）花提取物, 卡波姆, 聚乙烯吡咯烷酮, 乙酰基四肽-5, 棕榈酰四肽-3, 啤酒花（HUMULUS LUPULUS）提取物"
"﻿""19999""",雅诗兰黛肌透修护眼部精华霜,Estee Lauder Advanced Night Repair Eye Synchronized Complex II,10,国妆备进字J20140442,560,8929,4.5,https://img0.bevol.cn/Goods/source/5980461ed0dff.jpg,https://www.bevol.cn/product/52a6b115175c888031120f77ca91b2ac.html,"透明质酸钠, 小麦（TRITICUM VULGARE）胚芽提取物, 大麦（HORDEUM VULGARE）提取物, 酵母提取物, 聚山梨醇酯-40, CI 77491, 白花春黄菊（ANTHEMIS NOBILIS）花油, 乙基己基甘油, EDTA 二钠, 二裂酵母发酵产物溶胞物, 野大豆（GLYCINE SOJA）籽提取物, 苯氧乙醇, 1,3-丙二醇, 咖啡因, 聚二甲基硅氧烷, 霍霍巴醇, 氨丁三醇, 丁羟甲苯, 白桦（BETULA ALBA）树皮/叶提取物, 鸡桑（MORUS BOMBYCIS）根提取物, 水, 水解藻胶, 氢化卵磷脂, 植物鞘氨醇, 聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷交联聚合物, 生育酚乙酸酯, 黄芩（SCUTELLARIA BAICALENSIS）根提取物, 霍霍巴酯类, 藻提取物, 丙烯酰胺/丙烯酰基二甲基牛磺酸钠共聚物, 异十六烷, 霍霍巴油酸异丙酯, 甲基聚三甲基硅氧烷, 辛甘醇, 聚山梨醇酯-80, PEG/PPG-18/18 聚二甲基硅氧烷, 海藻糖, 丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物, CI 77492, 胆甾醇, 紫松果菊（ECHINACEA PURPUREA）提取物, 蔗糖, 茯苓（PORIA COCOS）菌核提取物, 矿脂, RNA 钠, 丁二醇, 硫酸钾, 乳酸杆菌发酵产物, 角鲨烷"
"﻿""20003""",雅漾舒缓保湿眼霜,EAU THERMALE AVENE SOIN APAISANT CONTOUR DES YEUX,10,国妆备进字J20126330,205,7086,5,https://img1.bevol.cn/Goods/source/5629ed35e1cfe.jpg,https://www.bevol.cn/product/564402843cea1a347212231001059b3c.html,"透明质酸钠, 矿油, 蔗糖硬脂酸酯, 红没药醇, 环聚二甲基硅氧烷, 蔗糖二硬脂酸酯, 葡聚糖硫酸酯, 水(雅漾活泉水), EDTA 二钠, 鲨肝醇, 三乙醇胺, 卡波姆, 甘油, 辛酸/癸酸甘油三酯, 聚乙二醇-12, 辛酸/癸酸甘油酯类, 生育酚葡糖苷, 乙酸钠"
"﻿""20007""",AnneMarie Borlind 安娜柏林细纹平复紧致提拉眼霜,Annemarie Borlind Eye wrinkle cream,10,,188,6496,4.5,https://img1.bevol.cn/Goods/source/56667a6cd9b6e.jpg,https://www.bevol.cn/product/93ec84623d7ca8ed86322fc72bf1b577.html,"氢化棕榈油甘油酯类柠檬酸酯, 聚甘油-3 聚蓖麻醇酸酯, 芝麻（SESAMUM INDICUM）籽油, 氧化锌, 蜂蜡, 谷维素, 卵磷脂, 苯氧乙醇, 氢化油菜籽油, 硬脂酸乙基己酯, 硫酸镁, 山梨（糖）醇, 水, 抗坏血酸棕榈酸酯, 生育酚乙酸酯, 甘油, 泛醇, 贯叶连翘（HYPERICUM PERFORATUM）油, 视黄醇棕榈酸酯, 聚甘油-3 油酸酯, 玉米（ZEA MAYS）油, 胡萝卜（DAUCUS CAROTA SATIVA）根提取物, 野大豆（GLYCINE SOJA）提取物, 角鲨烷, 小麦（TRITICUM VULGARE）胚芽油, β-胡萝卜素, 生育酚（维生素E）"
"﻿""20000""",A.H.C第三代全效水乳多功能眼霜,A.H.C PRIVATE REAL EYE CREAM,10,,145,5287,4,https://img0.bevol.cn/Goods/source/56aefad29511f.H,https://www.bevol.cn/product/e8e700112b2f0d9b62945cc90e50233b.html,"透明质酸钠, 裂蹄木层孔菌（PHELLINUS LINTEUS）提取物, 乙酰基二肽-1 鲸蜡酯, EDTA 二钠, 二裂酵母发酵产物溶胞物, 1,2-己二醇, 乙醇, 鲸蜡基羟乙基纤维素, 神经酰胺 2, 聚丙烯酸钠, 水解葡糖氨基聚糖, 羟乙基纤维素, 辛甘醇, 积雪草（CENTELLA ASIATICA）提取物, 阿拉伯胶树（ACACIA SENEGAL）胶, 叶酸, 环五聚二甲基硅氧烷, 甘油三（乙基己酸）酯, 黄蘖（PHELLODENDRON AMURENSE）树皮提取物, 聚异丁烯, 牛蒡（ARCTIUM LAPPA）根提取物, 丁二醇, 生育酚亚油酸酯, 山梨酸, 山梨坦月桂酸酯, 三肽-1 铜, 异硬脂醇异硬脂酸酯, 丙二醇, 苯氧乙醇, 氨丁三醇, 水, 乙酰基六肽-8, 金甲豆（PHASEOLUS LUNATUS）籽提取物, 鲸蜡硬脂醇橄榄油酸酯, 鲸蜡醇, 假交替单胞菌发酵产物提取物, 腺苷, 乙酰基三肽-1, 牛油果树（BUTYROSPERMUM PARKII）果脂, 棕榈酰寡肽, 矢车菊（CENTAUREA CYANUS）花水, C11-15 醇磷酸酯钾, （日用）香精, 鱼腥草（HOUTTUYNIA CORDATA）提取物, 聚丙烯酸酯-13, 芸香苷, 黄原胶, 甘油硬脂酸酯, 烟酰胺, 茶氨酸, 硬脂醇聚醚-20, 胶原提取物, 乙基己基甘油, 乳酸, 乙酸, 山梨酸钾, 植物鞘氨醇, 聚二甲基硅氧烷/乙烯基聚二甲基硅氧烷交联聚合物, 甘油, 泛醇, 棕榈酰五肽-4, 棉子糖, 聚季铵盐-51, 柠檬酸, 鲸蜡硬脂醇, 胆甾醇, 植物甾醇/山嵛醇/辛基癸醇月桂酰谷氨酸酯, 裂殖酵母（SCHIZOSACCHAROMYCES）菌丝体发酵产物滤液, 焦糖色, 聚二甲基硅氧烷醇, 棕榈酰四肽-7, 聚山梨醇酯-60, 月见草（OENOTHERA BIENNIS）油, 菊粉月桂基氨基甲酸酯, 谷胱甘肽, 山梨坦橄榄油酸酯, 聚二甲基硅氧烷, PEG-75 硬脂酸酯, 氢化卵磷脂, 牛奶脂质, 氢化聚癸烯, 鲸蜡醇磷酸酯钾, 鲸蜡醇聚醚-20, 柳兰（EPILOBIUM ANGUSTIFOLIUM）花/叶/茎提取物, 聚山梨醇酯-20, 神经酰胺 3, 水解羽扇豆蛋白, 氢化磷脂酰胆碱, 卡瓦胡椒（PIPER METHYSTICUM）叶/根/茎提取物, 卵磷脂"
"﻿""20011""",Swisse 摩洛哥坚果抗衰老眼霜,Swisse Argan Anti-Ageing Eye Cream,10,,298,5106,5,https://img1.bevol.cn/Goods/source/57636e31f2544.jpg,https://www.bevol.cn/product/23ed1d38fe1dde5371085cd9c8cd9130.html,"香柠檬（CITRUS AURANTIUM BERGAMIA）果油, 柚（CITRUS GRANDIS）果皮油, 母菊（CHAMOMILLA RECUTITA）花提取物, 山梨坦橄榄油酸酯, 抗坏血酸磷酸酯钠, 咖啡因, 维生素 K-1, 野大豆（GLYCINE SOJA）油, 硬脂酰谷氨酸钠, 甘油, 鲸蜡硬脂醇橄榄油酸酯, 库拉索芦荟（ALOE BARBADENSIS）叶汁, 葡萄（VITIS VINIFERA）籽油, 泛醌, 柠檬酸钠, 红花（CARTHAMUS TINCTORIUS）籽油, 鲸蜡硬脂醇, 穗檀香（FUSANUS SPICATUS）木油, 刺阿干树（ARGANIA SPINOSA）仁油, 脱氢乙酸, 苯甲醇, 扁叶香果兰（VANILLA PLANIFOLIA）果提取物, 山金车（ARNICA MONTANA）花提取物, 巴西香可可（PAULLINIA CUPANA）籽提取物, 角鲨烷"
"﻿""20010""",理肤泉特安舒缓眼霜,LA ROCHE-POSAY TOLERIANE ULTRA EYE,10,国妆备进字J201410196,285,4170,5,https://img0.bevol.cn/Goods/source/563b129e6cd5d.jpg,https://www.bevol.cn/product/285a047a6b727f3f4aa034975a31dcf0.html,"聚山梨醇酯-20, 烟酰胺, 甘油丙烯酸酯/丙烯酸共聚物, 丁二醇, 聚甲基硅倍半氧烷, 乙酰基二肽-1 鲸蜡酯, 聚二甲基硅氧烷醇, 水, EDTA 二钠, 淀粉辛烯基琥珀酸铝, 柠檬酸, 甘油, 角鲨烷, 1,2-戊二醇, 聚丙烯酰基二甲基牛磺酸铵, 1,3-丙二醇, 聚二甲基硅氧烷, 牛油果树（BUTYROSPERMUM PARKII）果脂"
"﻿""20056""",100% Pure 有机咖啡豆眼霜,100% Pure Organic Coffee Bean Caffeine Eye Cream,10,,330,3368,5,https://img1.bevol.cn/Goods/source/566e5cb4efb7d.png,https://www.bevol.cn/product/5002c9a4e1770be14bc282f53f30442b.html,"库拉索芦荟（ALOE BARBADENSIS）叶汁, 扁叶香果兰（VANILLA PLANIFOLIA）果提取物, 抗坏血酸钠, 麝香草（THYMUS VULGARIS）提取物, 小烛树（EUPHORBIA CERIFERA）蜡, 小果咖啡（COFFEA ARABICA）籽提取物, 生育酚（维生素E）, 迷迭香（ROSMARINUS OFFICINALIS）叶提取物, 白毛茛（HYDRASTIS CANADENSIS）提取物, 牛至（ORIGANUM VULGARE）叶提取物, 玫瑰（ROSA RUGOSA）花油, 洋蔷薇（ROSA CENTIFOLIA）花水, 茶（CAMELLIA SINENSIS）叶提取物"
